CourseCode,CourseName
BS COMPUTER APPLICATION,BS CA
BS ELECTRTONIC ENGINEERING,BS ECE
BET - CIVIL ENGINEERING TECHNOLOGY,BET - CET
BSBA MARKETING MANAGEMENT,BSBA MM
BS FILIPINO,BS FIL
BS SOCIOLOGY,BS SOCIO
BS PHYSICS,BS PHYS
BS STATISTICS,BS STAT
BS CHEMISTRY,BS CHEM
BS MATHEMATICS,BS MATH
